epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.561,1.31334,6.59095,0.01234,0.4399,0.4,0.34596,0.18117,1.52879,2.83348,0.02636,0.00056,0.00056,0.00056
2,68.0793,1.52978,2.16284,0.01554,0.186,0.11111,0.06604,0.01832,1.6369,3.94297,0.02997,0.00112871,0.00112871,0.00112871
3,90.513,1.59259,1.43137,0.01627,0.54622,0.33333,0.29746,0.16096,1.90457,2.5791,0.03544,0.00168594,0.00168594,0.00168594
4,114.374,1.70346,1.28537,0.01713,0.59003,0.2,0.2415,0.10796,2.44777,3.39286,0.05565,0.0019406,0.0019406,0.0019406
5,137.249,1.54968,1.11075,0.01574,0.83444,0.42222,0.52339,0.29475,1.82154,1.90484,0.03134,0.0019208,0.0019208,0.0019208
6,162.621,1.53252,1.05594,0.01562,0.53082,0.13333,0.19996,0.09904,2.67509,4.22732,0.05428,0.001901,0.001901,0.001901
7,186.954,1.56914,0.98881,0.01563,0.45699,0.22222,0.2533,0.15465,1.83973,2.57148,0.0374,0.0018812,0.0018812,0.0018812
8,210.558,1.51093,1.0047,0.01488,0.01708,0.02222,0.00889,0.00366,2.22186,4.68059,0.04239,0.0018614,0.0018614,0.0018614
9,235.011,1.45716,0.87863,0.01519,0.789,0.84444,0.8827,0.54994,1.44136,0.81487,0.02671,0.0018416,0.0018416,0.0018416
10,260.805,1.46074,0.91178,0.01442,0.73852,0.68889,0.6038,0.30503,1.86742,1.56979,0.03821,0.0018218,0.0018218,0.0018218
11,285.1,1.45995,0.8494,0.01501,0.81796,0.62222,0.75824,0.43682,1.51309,1.10134,0.02817,0.001802,0.001802,0.001802
12,309.254,1.39237,0.79394,0.01379,0.77596,0.8,0.82602,0.49213,1.35744,0.80191,0.02565,0.0017822,0.0017822,0.0017822
13,332.215,1.40515,0.81885,0.01414,0.7416,0.82921,0.83077,0.53093,1.32556,0.72047,0.02351,0.0017624,0.0017624,0.0017624
14,356.893,1.43216,0.76823,0.01462,0.93017,0.88802,0.95924,0.64918,1.23278,0.57555,0.02162,0.0017426,0.0017426,0.0017426
15,381.744,1.36292,0.70401,0.01324,0.96444,0.84444,0.93457,0.60057,1.29891,0.6613,0.02115,0.0017228,0.0017228,0.0017228
16,406.485,1.36292,0.65493,0.01355,1,0.85973,0.93706,0.62377,1.14545,0.64945,0.01883,0.001703,0.001703,0.001703
17,430.253,1.39119,0.68679,0.01391,0.85925,0.95556,0.95021,0.62267,1.26293,0.51978,0.02194,0.0016832,0.0016832,0.0016832
18,454.458,1.38445,0.70638,0.0142,0.76547,0.87044,0.87023,0.48207,1.38,1.00851,0.02395,0.0016634,0.0016634,0.0016634
19,478.115,1.38292,0.71494,0.01381,0.84024,0.86667,0.93222,0.61423,1.29788,0.64013,0.02109,0.0016436,0.0016436,0.0016436
20,502.138,1.36829,0.68168,0.01382,0.89034,0.90226,0.95937,0.63717,1.24204,0.58147,0.02185,0.0016238,0.0016238,0.0016238
21,531.859,1.30074,0.64878,0.0132,0.91207,0.84444,0.926,0.65665,1.10231,0.66193,0.01874,0.001604,0.001604,0.001604
22,562.685,1.25208,0.6257,0.01216,0.80804,0.74847,0.81495,0.56198,1.13542,0.91103,0.02211,0.0015842,0.0015842,0.0015842
23,586.193,1.31972,0.68124,0.01351,0.96093,0.82222,0.94125,0.6686,1.03708,0.69541,0.01769,0.0015644,0.0015644,0.0015644
