epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1326,1.46196,5.86278,0.01404,0.66904,0.15265,0.1905,0.06855,1.76429,2.91045,0.03285,0.000541044,0.000541044,0.000541044
2,82.8108,1.62638,2.19286,0.01655,0.79022,0.24138,0.26922,0.11303,1.78157,2.20974,0.03436,0.00108585,0.00108585,0.00108585
3,114.151,1.73865,1.60342,0.01771,0.6928,0.10823,0.08326,0.02324,nan,nan,nan,0.00161966,0.00161966,0.00161966
4,149.167,1.97233,1.56638,0.0204,0.74669,0.02874,0.03542,0.01693,2.83407,4.57216,0.05599,0.00161749,0.00161749,0.00161749
5,182.078,1.76009,1.48269,0.0178,0.67355,0.07471,0.08832,0.04991,1.90402,4.03574,0.03663,0.00160099,0.00160099,0.00160099
6,214.07,1.66417,1.31199,0.01728,0.80074,0.3036,0.35129,0.14976,1.85127,1.76864,0.03443,0.00158448,0.00158448,0.00158448
7,246.619,1.7106,1.37404,0.01878,0.42235,0.47011,0.47711,0.22419,1.56857,1.86451,0.02932,0.00156798,0.00156798,0.00156798
8,286.888,1.61816,1.26195,0.01623,0.60138,0.4977,0.58154,0.33387,1.42715,0.98652,0.02509,0.00155148,0.00155148,0.00155148
9,322.122,1.6644,1.17457,0.01748,0.79676,0.25862,0.30195,0.17575,1.51092,2.30105,0.02895,0.00153497,0.00153497,0.00153497
10,357.317,1.62049,1.10324,0.01683,0.67493,0.57471,0.61999,0.34207,1.51911,1.00404,0.02706,0.00151847,0.00151847,0.00151847
11,391.108,1.60425,1.12071,0.01729,0.68132,0.60186,0.6445,0.33727,1.56027,0.9538,0.02886,0.00150197,0.00150197,0.00150197
12,427.009,1.65234,1.13685,0.01801,0.54616,0.58627,0.53041,0.29581,1.61155,0.96822,0.02979,0.00148546,0.00148546,0.00148546
13,459.611,1.6184,1.08774,0.01637,0.65076,0.60345,0.61013,0.37871,1.29331,0.86372,0.02271,0.00146896,0.00146896,0.00146896
14,491.615,1.54043,0.96716,0.0158,0.44037,0.71494,0.54064,0.3312,1.44606,0.87458,0.02607,0.00145246,0.00145246,0.00145246
15,530.916,1.54575,1.03967,0.0157,0.93763,0.4033,0.54249,0.32093,1.31669,1.29619,0.02329,0.00143595,0.00143595,0.00143595
16,563.207,1.49401,0.96265,0.01562,0.88434,0.37356,0.46213,0.27543,1.36399,1.5538,0.02554,0.00141945,0.00141945,0.00141945
17,595.364,1.49742,0.89162,0.0146,0.65489,0.52481,0.61,0.30786,1.78598,1.76572,0.03521,0.00140295,0.00140295,0.00140295
18,627.58,1.45871,0.87554,0.01506,0.60663,0.5092,0.53673,0.32169,1.39911,1.22972,0.02607,0.00138644,0.00138644,0.00138644
19,659.857,1.42664,0.95809,0.01459,0.59449,0.71034,0.70511,0.45048,1.21707,0.83298,0.0204,0.00136994,0.00136994,0.00136994
20,693.567,1.43655,0.85036,0.01411,0.53283,0.66889,0.5802,0.35251,1.32538,0.82985,0.02342,0.00135344,0.00135344,0.00135344
21,729.156,1.46115,0.87098,0.01501,0.48235,0.67471,0.58868,0.31836,1.39478,1.47079,0.02639,0.00133693,0.00133693,0.00133693
22,761.973,1.42174,0.90513,0.01422,0.79711,0.71609,0.75005,0.45338,1.30252,0.70394,0.02214,0.00132043,0.00132043,0.00132043
23,795.297,1.4349,0.81538,0.01417,0.75355,0.6361,0.66795,0.42663,1.23958,0.63607,0.02188,0.00130393,0.00130393,0.00130393
24,831.521,1.40706,0.79758,0.01356,0.64268,0.73793,0.65139,0.39704,1.22261,0.74237,0.02069,0.00128742,0.00128742,0.00128742
25,863.488,1.42482,0.8216,0.01408,0.73957,0.64631,0.65848,0.39695,1.29667,0.64684,0.02472,0.00127092,0.00127092,0.00127092
26,895.636,1.45781,0.83623,0.01508,0.58732,0.69821,0.65726,0.41053,1.31446,0.72486,0.02288,0.00125442,0.00125442,0.00125442
